%FA,Column diameter(m),Density of Gas (kg/m3),Density of Liquid (kg/m3),Diffusivity (m2/s),Interfacial Area (m2/m3),Liquid height (m),Molecular Weight of gas (kg/kmol),Pressure (kPa),Sparger Encode,Sparger hole diameter (m),Superficial gas velocity (m/s),Surface Tension of Liquid (N/m),Temperature (K),Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Viscosity of Gas (Pa.s),Viscosity of Liquid (Pa.s),Volumetric Mass Transfer Coefficient (1/s),k_L (m/s)
7.610959782,0.158,2.37,1086,2.04E-09,25.3164557,1.5,28.84,200,7,0.01,0.093367,0.075,293,,Sparger Encoding ,,,8.95E-06,1.79E-05,0.0015,0.14009,0.005533555
0.16,0.1,1.19,996.45,2.72E-09,40,2,28.84,101.3,2,0.004,0.0071919,0.05520055,296,,1,Nozzle plate (TP),,2.09E-05,1.82E-05,0.0009,0.0082734,0.000206835
0.476108033,0.38,1.200548,862,1.02E-09,10.52631579,1.73,28.84,101.3,3,0.0005,0.32357,0.028,293,,2,Single Nozzle ,,,1.79E-05,0.075,0.022555,0.002142725
0.223214286,0.14,1.180052226,997,2.52E-09,28.57142857,1.5,28.84,101.3,3,0.0025,0.020417478,0.0556,298,,3,Perforated Plate,,,1.81E-05,0.000884,0.017901933,0.000626568
0.4975,0.1,1.200548,763,4.11E-09,40,1.22,28.84,101.3,3,0.0005,0.01,0.027,293,,4,Cross,,,1.79E-05,0.0022,0.0227,0.0005675
0.099722992,0.095,1.2,1203,1.73E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.074019,0.0381,293,,5,Six Arm Sparger,,,1.81E-05,0.002,0.084232,0.00200051
7.610959782,0.158,4.75,1086,2.04E-09,25.3164557,1.5,28.84,400,7,0.01,0.056056,0.075,293,,6,Ring,,,1.79E-05,0.0015,0.10098,0.00398871
0.052930057,0.115,5.5,1000,2.50E-09,34.7826087,1.37,28.84,471,3,0.001,0.0101064,0.072,298,,7,Spider(8),,,1.83E-05,0.001,0.0458256,0.001317486
0.099722992,0.095,1.2,1113,4.66E-10,42.10526316,0.85,28.84,101.3,2,0.003,0.058346,0.0494,293,,8,Multi orifice ,,,1.81E-05,0.01994,0.010225,0.000242844
2.615630231,0.1016,33.4,880,2.23E-10,39.37007874,0.7112,28.84,2860,3,0.0015,0.22687727,0.029,298,,9,Perforated Tube,,,1.81E-05,0.026,0.058823027,0.001494105
2.615630231,0.1016,17.59,883,1.78E-10,39.37007874,0.7112,28.84,1480,3,0.0015,0.14212,0.0305,293,,10,4 Arm cum outer ring,,,1.79E-05,0.032,0.026524,0.00067371
2.56,0.1,11.34,890,3.65E-09,40,0.5,28.01,1000,3,0.008,0.025875707,0.0288,298,,11,4 Arm cum 2 ring,,,1.80E-05,0.0138,0.027137255,0.000678431
0.16,0.1,1.19,995.2,2.69E-09,40,2,28.84,101.3,2,0.004,0.035182,0.07013048,296,,12,Double Ring,,,1.82E-05,0.000921,0.045656,0.0011414
0.052930057,0.115,1.15,865,5.03E-09,34.7826087,1.096,28.01,101.3,3,0.001,0.157,0.0283,293,,13,Multi Nozzle,,,1.75E-05,0.00059,0.29073,0.008358487
0.05,0.14,1.2,1000,2.50E-09,28.57142857,0.65,28.84,101.3,3,0.0005,0.007976464,0.0723,298,,,,,,1.81E-05,0.000998,0.014930555,0.000522569
2.615630231,0.1016,33.4,880,2.23E-10,39.37007874,0.7112,28.84,2860,3,0.0015,0.085278,0.029,298,,,,,,1.81E-05,0.026,0.030737,0.00078072
0.164577778,0.15,1.18,714,3.60E-09,26.66666667,3.2,28.84,101.3,3,0.0023,0.14058,0.0204,293,,,,,,1.70E-05,0.00047,0.091066,0.003414975
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.29548,0.029,298,,,,,,1.83E-05,0.026,0.022996,0.000584098
0.16,0.1,1.19,995.2,2.69E-09,40,2,28.84,101.3,2,0.004,0.014256,0.07013048,296,,,,,,1.82E-05,0.000921,0.016155,0.000403875
0.300332843,0.152,1.2,1015,2.20E-09,26.31578947,1.4,28.84,101.3,2,0.00833,0.016271389,0.073,293,,,,,,1.81E-05,0.0011,0.011559722,0.000439269
0.177285319,0.19,1.2,1000,2.50E-09,21.05263158,1.7,28.84,101.3,7,0.001,0.011231,0.0723,298,,,,,,1.81E-05,0.000998,0.021332,0.00101327
2.703893607,0.316,4.010701387,900,3.10E-09,12.65822785,2.24,28.01,357.14,8,0.005,0.1,0.0289,300,,,,,,1.66E-05,0.00083,0.56406,0.04456074
0.164577778,0.15,1.18,714,3.60E-09,26.66666667,3.2,28.84,101.3,3,0.0023,0.10116,0.0204,293,,,,,,1.70E-05,0.00047,0.079223,0.002970862
2.615630231,0.1016,17.4,880,2.23E-10,39.37007874,0.7112,28.84,1480,3,0.0015,0.25607533,0.029,298,,,,,,1.81E-05,0.026,0.0399349,0.001014346
1.69,0.1,1.17,1130,2.30E-09,40,1.3,28.84,101.3,2,0.013,0.075447,0.0759,302,,,,,,1.85E-05,0.000895,0.061521,0.001538025
1.09,0.162,1.2,1000,2.50E-09,24.69135802,1.60855632,28.84,101.3,3,0.00132,0.048449963,0.0723,298,,,,,,1.81E-05,0.001,0.049766444,0.002015541
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,2.07,28.84,101.3,2,0.04,0.0391,0.073,293,,,,,,1.81E-05,0.0011,0.0479,0.007185
0.16,0.1,1.19,997.2,2.70E-09,40,2,28.84,101.3,2,0.004,0.028013,0.07,296,,,,,,1.82E-05,0.000913,0.040654,0.00101635
0.027777778,0.6,1.2,1015,2.20E-09,6.666666667,1.26,28.84,101.3,2,0.01,0.426333333,0.073,293,,,,,,1.81E-05,0.0011,0.192613889,0.028892083
0.4975,0.1,1.200548,862,1.02E-09,40,1.3,28.84,101.3,3,0.0005,0.23819,0.028,293,,,,,,1.79E-05,0.075,0.014947,0.000373675
0.177285319,0.19,1.2,1070,1.80E-09,21.05263158,1.7,28.84,101.3,7,0.001,0.0435797,0.069,298,,,,,,1.81E-05,0.004365,0.0327116,0.001553801
2.703893607,0.316,9.387858231,862,4.90E-09,12.65822785,2.24,28.84,811.9,8,0.005,0.1,0.0277,300,,,,,,1.81E-05,0.00054,0.57807,0.04566753
2.56,0.1,11.34,890,3.65E-09,40,0.5,28.01,1000,3,0.008,0.034971752,0.0288,298,,,,,,1.80E-05,0.0138,0.033019606,0.00082549
2.703893607,0.316,2.246010745,898,3.56E-09,12.65822785,2.24,28.01,200,8,0.005,0.14386864,0.0288,300,,,,,,1.66E-05,0.00072,0.6060222,0.047875754
0.4975,0.1,1.200548,862,1.02E-09,40,1.3,28.84,101.3,3,0.0005,0.052447,0.028,293,,,,,,1.79E-05,0.075,0.0049822,0.000124555
0.164577778,0.15,1.18,865,4.38E-09,26.66666667,3.2,28.84,101.3,3,0.0023,0.11205678,0.0283,293,,,,,,1.72E-05,0.000585,0.110453196,0.004141995
0.111111111,0.6,1.2,1015,2.20E-09,6.666666667,1.26,28.84,101.3,2,0.02,0.333611111,0.073,293,,,,,,1.81E-05,0.0011,0.170958333,0.02564375
0.4975,0.1,1.200548,1000,2.11E-09,40,1.6,28.84,101.3,3,0.0005,0.0111,0.0723,293,,,,,,1.79E-05,0.001,0.042705,0.001067625
0.156,0.162,1.2,1000,2.50E-09,24.69135802,1.3571712,28.84,101.3,3,0.0005,0.08089661,0.0723,298,,,,,,1.81E-05,0.001,0.09749359,0.00394849
0.476108033,0.38,1.200548,1000,2.11E-09,10.52631579,1.6,28.84,101.3,3,0.0005,0.01748,0.0723,293,,,,,,1.79E-05,0.001,0.0381,0.0036195
0.223214286,0.14,1.180052226,997,2.50E-09,28.57142857,1.5,28.84,101.3,3,0.0025,0.033588737,0.0723,298,,,,,,1.81E-05,0.000894,0.036595684,0.001280849
0.16,0.1,1.19,995.2,2.69E-09,40,2,28.84,101.3,2,0.004,0.0071934,0.07013048,296,,,,,,1.82E-05,0.000921,0.0071015,0.000177538
0.16,0.1,1.19,1000,2.50E-09,40,2,28.84,101.3,2,0.004,0.056204,0.0723,296,,,,,,1.82E-05,0.001,0.057079,0.001426975
0.694444444,0.15,1.200548,1000,2.11E-09,26.66666667,1.6,28.84,101.3,3,0.0005,0.39387,0.0723,293,,,,,,1.79E-05,0.001,0.15284,0.0057315
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,3.5,28.84,101.3,2,0.04,0.022888611,0.073,293,,,,,,1.81E-05,0.0011,0.026391111,0.003958667
0.223214286,0.14,1.180052226,997,2.52E-09,28.57142857,1.5,28.84,101.3,3,0.0025,0.10445648,0.0556,298,,,,,,1.81E-05,0.000884,0.08623822,0.003018338
0.099722992,0.095,1.2,792,3.48E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.017071,0.0222,293,,,,,,1.81E-05,0.000586,0.035174,0.000835382
0.099722992,0.095,1.2,1203,1.73E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.051398,0.0381,293,,,,,,1.81E-05,0.002,0.06579,0.001562512
0.099722992,0.095,1.2,792,3.48E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.089997,0.0222,293,,,,,,1.81E-05,0.000586,0.10123,0.002404212
0.476108033,0.38,1.200548,1000,2.11E-09,10.52631579,1.6,28.84,101.3,3,0.0005,0.007,0.0723,293,,,,,,1.79E-05,0.001,0.01892,0.0017974
0.099722992,0.095,1.2,789,2.32E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.063703,0.0221,293,,,,,,1.81E-05,0.001189,0.085685,0.002035019
2.615630231,0.1016,17.3,880,2.23E-10,39.37007874,0.7112,28.84,1480,3,0.0015,0.1973,0.029,298,,,,,,1.81E-05,0.026,0.033513,0.00085123
0.164577778,0.15,1.18,714,3.60E-09,26.66666667,3.2,28.84,101.3,3,0.0023,0.17881,0.0204,293,,,,,,1.70E-05,0.00047,0.090005,0.003375187
0.14,0.2,1.22,1000,2.09E-09,20,7.03,28.84,101.3,4,0.001,0.0066431,0.073,289,,,,,,1.81E-05,0.0011,0.0054735,0.000273675
2.615630231,0.1016,1.2,1000,2.50E-09,39.37007874,0.7112,28.84,101.3,3,0.0015,0.081328,0.0723,298,,,,,,1.83E-05,0.001,0.038462,0.000976935
2.615630231,0.1016,0.953,848,1.81E-09,39.37007874,0.7112,28.84,101.3,3,0.0015,0.14492,0.02626,364,,,,,,2.09E-05,0.0039,0.11912,0.003025648
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.22574,0.029,298,,,,,,1.83E-05,0.026,0.018352,0.000466141
0.694444444,0.15,1.200548,1000,2.11E-09,26.66666667,1.6,28.84,101.3,3,0.0005,0.084851,0.0723,293,,,,,,1.79E-05,0.001,0.12637,0.004738875
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.11373026,0.029,298,,,,,,1.81E-05,0.026,0.010533379,0.000267548
0.100781053,0.63,1.200548,1000,2.11E-09,6.349206349,2.16,28.84,101.3,8,0.0025,0.017227,0.0723,293,,,,,,1.79E-05,0.001,0.027115,0.004270613
7.610959782,0.158,1.18,1086,2.04E-09,25.3164557,1.5,28.84,101.3,7,0.01,0.045569,0.075,293,,,,,,1.81E-05,0.0015,0.053439,0.00211084
0.694444444,0.15,1.200548,1000,2.11E-09,26.66666667,1.6,28.84,101.3,3,0.0005,0.10318,0.0723,293,,,,,,1.79E-05,0.001,0.13866,0.00519975
0.16,0.1,1.19,996.25,2.71E-09,40,2,28.84,101.3,2,0.004,0.070412,0.071125,296,,,,,,1.82E-05,0.000908,0.079523,0.001988075
2.703893607,0.316,3.78,862,4.60E-09,12.65822785,2.24,28.01,337.38494,8,0.005,0.07,0.0277,300,,,,,,1.66E-05,0.00054,0.26136243,0.020647632
0.100781053,0.63,1.200548,1000,2.11E-09,6.349206349,2.16,28.84,101.3,8,0.0025,0.040499,0.0723,293,,,,,,1.79E-05,0.001,0.049636,0.00781767
0.099722992,0.095,1.2,1203,1.73E-09,42.10526316,0.85,28.84,101.3,2,0.003,0.0065,0.0381,293,,,,,,1.81E-05,0.002,0.012026,0.000285617
0.444444444,0.6,1.2,1015,2.20E-09,6.666666667,1.26,28.84,101.3,2,0.04,0.064902778,0.073,293,,,,,,1.81E-05,0.0011,0.094655556,0.014198333
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.050884,0.029,298,,,,,,1.83E-05,0.026,0.004794,0.000121768
2.615630231,0.1016,1.16,880,2.23E-10,39.37007874,0.7112,28.84,101.3,3,0.0015,0.098426,0.029,298,,,,,,1.83E-05,0.026,0.010112,0.000256845
2.703893607,0.316,2.246010745,900,3.10E-09,12.65822785,2.24,28.01,200,8,0.005,0.074585535,0.0289,300,,,,,,1.66E-05,0.00083,0.33466682,0.026438679
1.69,0.1,1.2,998,2.20E-09,40,1.3,28.84,101.3,2,0.013,0.096157,0.0723,295,,,,,,1.81E-05,0.000961,0.068688,0.0017172
0.4975,0.1,1.200548,862,1.02E-09,40,1.3,28.84,101.3,3,0.0005,0.39984,0.028,293,,,,,,1.79E-05,0.075,0.022064,0.0005516
0.075577757,0.1455,1.2,1230,1.06E-09,27.49140893,1.1,28.84,101.3,3,0.004,0.034489,0.071,303,,,,,,1.81E-05,0.0108486,0.0085105,0.000309569
0.05,0.14,1.2,1000,2.50E-09,28.57142857,0.65,28.84,101.3,3,0.0005,0.010079598,0.0723,298,,,,,,1.81E-05,0.000998,0.020376984,0.000713194
